ID;Grupo Funcional;Función química ;Nombre_Sustrato;Formula_Sustrato;PM_Sustrato;PE_Sustrato °C;Incertidumbre PE;Densidad_Sustrato  g/cm³;Incertidumbre densidad;pKa_Sustrato;Incertidumbre Pka;LD50_Sustrato mg /kg;Nombre_Reactivo 1;Fórmula Molecular 1;Nombre_Reactivo 2;Fórmula Molecular 2;Nombre_Reactivo 3;Fórmula Molecular 3;Nombre_Catalizador 1;Catalizador 1;Nombre_Catalizador 2;Catalizador 2;Nombre_Catalizador 3;Catalizador 3;Nombre_Catalizador 4;Catalizador 4;Nombre_Solvente 1;Formula Solvente 1;Nombre_Solvente 2;Formula Solvente 2;Nombre_Solvente 3;Formula Solvente 3;Temperatura;Nombre_Medio;Medio;Nombre_Producto;Formula_Producto;PM_Producto;PE_Producto;Incertidumbre PE;Densidad_Producto;Incertidumbre densidad;pKa_Producto;Incertidumbre Pka;LD50_Producto Mamifero mg /kg;Tipo_Reaccion;Nombre_Reaccion;
AMD32;Amidas;–CONH2;Propionamida;C3H7NO;73.09;213.00;0.00;1.01;0.00;16.60;0.40;0.00;Bromo en solución alcalina;Br2 / NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;Etilamina;C2H7N;45.08;16.60;0.00;0.69;0.00;10.67;0.00;0.00;Reordenamiento;Degradación de Hofmann;
AMD33;Amidas;–CONH2;Butiramida;C4H9NO;87.12;216.00;0.00;0.89;0.00;16.67;0.40;0.00;Bromo en solución alcalina;Br2 / NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;Propilamina;C3H9N;59.11;48.50;0.00;0.72;0.00;10.53;0.00;580.00;Reordenamiento;Degradación de Hofmann;
AMD34;Amidas;–CONH2;Pentanamida​;C5H11NO;101.15;90.00;0.00;0.85;0.00;16.68;0.40;0.00;Bromo en solución alcalina;Br2 / NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;Butilamina;C4H11N;73.14;78.00;0.00;0.73;0.00;10.60;0.00;590.00;Reordenamiento;Degradación de Hofmann;
AMD55;Amidas;–CONH2;Isobutiramida;C4H9NO;87.12;221.00;0.00;0.91;0.06;16.60;0.50;0.00;Bromuro de fenacilo ;Ar-CO-CH2Br ;Cloruro de tionilo;SOCl2;0.00;0.00;Plata (Ag);Ag;0.00;0.00;0.00;0.00;0.00;0.00;Cloroformo ;CHCl3 ;0.00;0.00;0.00;0.00;0.00;Calor (Delta);Térmico;2-isopropil-5-feniloxazol;C12H13NO;187.24;282.16;9.00;1.04;0.06;1.29;0.10;0.00;Cicloadicion;Síntesis de oxazoles sustituidos en 2.5;
AMD56;Amidas;–CONH2;2 - Metilbutanamida;C5H11NO​​​​;101.15;181.00;0.00;0.90;0.06;16.67;0.50;0.00;formiato de amonio;NH4CHO2;0.00;0.00;0.00;0.00;formato deshidrogenasa;0.00;Reductasa. 12- oxofitodienoato (Lycoper rsicon esculentum cepa Castlemart I I gen…;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Medio con catálisis ácida / Medio básico de lavado;acido;2. 5- Pirrolidinediona . 3- metil- 1- fenil- . (3R) - (9CI. ACI);C11H11NO2;189.21;393.04;11.00;1.21;0.06;-0.35;0.40;0.00;Reducción;Reducción de los enlaces dobles o triples conjugados a grupos carbonilo o ciano.;
AMD57;Amidas;–CONH2;Hexanamida;C6H13NO;115.17;245.00;8.00;0.90;0.06;16.68;0.50;0.00;Trifenilfosfina;0;0.00;0.00;0.00;0.00;"	
Rodio. tetrakis [μ- (octanoato- κO: κO′ )] di- . (Rh-Rh)";C22H60O8Rh2;0.00;0.00;0.00;0.00;0.00;0.00;Diclorometano;CH2Cl2;0.00;0.00;0.00;0.00;0.00;Medio orgánico supergásico anhidro;basico;Fenilalanina . β- oxo-norte- (1- oxohexil) - . éster etílico (9CI. ACI);C17H23NO4;305.37;465.16;30.00;1.09;0.06;10.22;0.59;0.00;Condensación;N-alquilación de amidas/imidas o reacción de Mitsunobu;
AMD38;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;Trifenilfosfina;C18H15P;Di- μ- clorobis cloródico (η 2 - eteno) diplatino;PtCL2(n2-c2h4)2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
1.4 - dioxano";C4H8O2;0.00;0.00;0.00;0.00;0.00;Medio acuoso básico moderado;basico;amida de propano .norte- etil- 2. 2- dimetil- (9CI. ACI);C7H15NO;129.20;209.85;8.00;0.86;0.00;16.62;0.46;0.00;Sustitución Nucleofílica;Adición de amidas. imidas. sulfonamidas y carbamatos a enlaces dobles o triples no activados.;
AMD39;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;hidruro de sodio;NaH;"	
cloruro mercúrico";HgCl2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;0.00;0.00;0.00;0.00;0.00;Medio orgánico aprotótico neutro;neutro;Butana mide.norte- [[( 4- clorofenil ) amino] [[ 1- (2. 4- diclorofenil ) - 2- (1H- imidazol- 1- il) etil] imino] metil] - 2. 2- dimetil- (ACI);C24H26CL3N5O;506.86;0.00;0.00;1.30;0.14;11.48;0.46;0.00;Sustitución Nucleofílica;Adición de aminas a aldehídos. cetonas o tiocarbonilos;
AMD40;Amidas;–CONH2;Butanamide;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;Clorhidrato de hidroxilamina;NH2OH·HCl;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00; Etanol;C2H6O;0.00;0.00;0.00;0.00;0.00;Calor (120 °C);Térmico;3-(2-metil-2-pentil)-1.2.4-oxadiazol;C8H14N2O;0.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;Cicloadicion;Ciclación a 1.2.4-oxadiazoles;
AMD08;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;"	
bis (trimetilsilil ) amida de litio";C6H18LiNSi2;bicarbonato de sodio;NaHCO3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
rofurano tetrahidro";C4H8O;Agua;H2O;0.00;0.00;0.00;Medio orgánico anhidro fuertemente básico;basico;Ácido carbámico.norte- (2.2 - dimetil- 1- oxopropil) - . éster 1- metilenílico (ACI);C9H15NO3;185.22;0.00;0.00;1.02;0.06;8.07;0.46;0.00;Sustitución Nucleofílica Acílica;N-acilación de amidas (Formación de imidas);
AMD09;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;"	
hidruro de sodio";NaH;"	
cloruro mercúrico";HgCl2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;0.00;0.00;0.00;0.00;0.00;Medio acuoso amortiguado neutro;neutro;Butana mide.norte- [[[ 2- (1H- benzimidazol- 1- il ) - 1- (2. 4- diclorofenil ) etil] imino] [( 4- clorofenil ) amino] metil] - 2. 2- dimetil- (ACI);C28H28Cl3N5O;556.91;0.00;0.00;1.31;0.14;11.48;0.46;0.00;Sustitución Nucleofílica;Adición de aminas a aldehídos. cetonas o tiocarbonilos;
AMD10;Amidas;–CONH2;Butanamida;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;"	
pag- Ácido toluenosulfónico";C7H8O3S;bicarbonato de sodio;NaHCO3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Tolueno;C7H8;Agua;H2O;0.00;0.00;0.00;Medio orgánico halogenado neutro;neutro;Butana mide.norte- (3.4 - dihidro -2- naftalenilo ) - (9CI. ACI);C14H17NO;215.29;407.96;45.00;1.08;0.10;14.96;0.20;0.00;Condensación;Adición de aminas a aldehídos. cetonas o tiocarbonilos;
AMD18;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;Cloruro de tionilo;SOCl2;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Anhidro / Calentamiento suave;Básico (si usa Py);Pivalonitrilo;C5H9N;83.13;105.50;0.00;0.80;0.06;7.00;0.00;0.00;Eliminación;Deshidratación de amidas a nitrilos;
AMD19;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;Cloruro de tionilo;SOCl2;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Anhidro / Calentamiento suave;Básico (si usa Py);2.2-Dimetilbutanonitrilo;C6H11N;97.16;32.00;0.00;0.80;0.06;7.00;0.00;0.00;Eliminación;Deshidratación de amidas a nitrilos;
AMD20;Amidas;–CONH2;Butanamide;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;Cloruro de tionilo;SOCl2;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Anhidro / Calentamiento suave;Básico (si usa Py);2.2-Dimetilpentanonitrilo;C7H13N;111.19;42.00;0.00;0.81;0.06;7.00;0.00;0.00;Eliminación;Deshidratación de amidas a nitrilos;
AMD45;Amidas;–CONH2;Isobutiramida;C4H9NO;87.12;221.00;0.00;0.91;0.06;16.60;0.50;0.00;Compuesto alfa-diazocarbonilo;R1-CO-CH=N2;0.00;0.00;0.00;0.00;Cobre;Cu;0.00;0.00;0.00;0.00;0.00;0.00;Diclorometano;CH2Cl2;0.00;0.00;0.00;0.00;0.00;Calor;Térmico;2-isopropil-4-metiloxazol;C7H11NO;125.17;149.40;9.00;0.95;0.06;3.11;0.10;0.00;Cicloadicion;Síntesis de oxazoles (vía carbenoides de cobre);
AMD46;Amidas;–CONH2;2 - Metilbutanamida;C5H11NO​​​​;101.15;181.00;0.00;0.90;0.06;16.67;0.50;0.00;"	
formiato de amonio";NH4CHO2;0.00;0.00;0.00;0.00;formato deshidrogenasa;0.00;NADPH deshidrogenas;C21H30N7O17P3;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Medio orgánico anhidro fuertemente básico;Basico;2. 5- Pirrolidinediona . 3- metil- 1- fenil- . (3R) - (9CI. ACI);C11H11NO2;189.21;393.04;11.00;1.21;0.06;-0.35;0.40;0.00;Reducción;Reducción de los enlaces dobles o triples conjugados a grupos carbonilo o ciano.;
AMD47;Amidas;–CONH2;Hexanamida;C6H13NO;115.17;245.00;8.00;0.90;0.06;16.68;0.50;0.00;0;0;0.00;0.00;0.00;0.00;"	
Rodio. tetrakis [μ- (octanoato- κO: κO′ )] di- . (Rh-Rh)";C32H60O8Rh2;0.00;0.00;0.00;0.00;0.00;0.00;Diclorometano;CH2Cl2;0.00;0.00;0.00;0.00;0.00;Medio orgánico halogenado neutro;neutro;2-(pentan-2-il)-4-metiloxazol;C9H15NO;305.37;465.16;30.00;1.09;0.06;10.22;0.59;0.00;Condensación;N-alquilación de amidas/imidas o reacción de Mitsunobu;
AMD35;Amidas;–CONH2;Isobutiramida;C4H9NO;87.12;221.00;0.00;0.91;0.06;16.60;0.50;0.00;"	
diciclohexilcarbodiimida​​
Pentafluorofenol";C13H22N2/C6HF5O;"	
bis (trimetilsilil ) amida de sodio";C6H18NNaSi2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Dimetilformamida;C3H7NO;"	
rofurano tetrahidro";C4H8O;0.00;0.00;0.00;Medio orgánico débilmente ácido;neutro;5H- [1] Benzopirano [2 . 3-b] piridina- 5- acetamida. 9- fluoro- α. α- dimetil-norte- (2- metil- 1- oxopropil) - 2- [4- (4- morfolinilcarbonil ) fenil] - . (5S) - (ACI);C31H32FN3O5;545.60;707.34;60.00;1.26;0.06;11.39;0.46;0.00;Condensación;Acilación de nucleófilos de nitrógeno por ácidos carboxílicos;
AMD36;Amidas;–CONH2;2 - Metilbutanamida;C5H11NO​​​​;101.15;181.00;0.00;0.90;0.06;16.67;0.50;0.00;"	
Glucosa";C6H12O6;Amoníaco;NH3;0.00;0.00;N A D P H- deshidrogenasa;C21H30N7O17P3;Glucosa deshidrogenasa ( NAD );C21H30N7O17P3;Levodiona reductasa;C1610H2490N440O480S10;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Medio acuoso amortiguado neutro;neutro;Ciclohexanona . 4- hidroxi - 2.2.6 - trimetil- . (4R. 6R) - (9CI. ACI);C9H16O2;156.22;239.12;33.00;0.99;0.06;14.66;0.60;0.00;Reducción;Reducción de aldehídos y cetonas a alcoholes;
AMD37;Amidas;–CONH2;Hexanamida;C6H13NO;115.17;245.00;8.00;0.90;0.06;16.68;0.50;0.00;(T- 4) - (norte,norte- Dietiletanamina ) trihidro aluminio;AlH3 N(C2H5)3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
rofurano tetrahidro";(CH2)4O;0.00;0.00;0.00;0.00;0.00;Tetrahidrofurano;neutro;1- Hexanamina (9CI, ACI);C6H15N;101.19;131.50;0.00;0.77;0.00;10.56;0.00;0.00;Reducción;Reducción de Hexanamida;
AMD58;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00; Etanol;C2H6O;0.00;0.00;0.00;0.00;0.00;Medio orgánico halogenado neutro;neutro;Oxazol. 4- (4- bromofenil ) - 2- (1. 1- dimetiletil ) - (ACI);C13H14BrNO;280.16;342.68;17.00;1.31;0.06;1.21;0.10;0.00;Condensación;Formación de heterociclos N/O/S;
AMD59;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;Ácido sulfúrico;H2SO4;"	
bicarbonato de sodio";NaHCO3;"	
hidróxido de potasio";KOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
Agua";H2O;0.00;0.00;0.00;0.00;100.00;Medio alcohólico prótico neutro;neutro;Butanamida . 2. 2- dimetil- (9CI. ACI);C6H13NO;115.17;223.42;9.00;0.90;0.06;16.67;0.50;0.00;hidrolisis;Hidrólisis de nitrilos;
AMD60;Amidas;–CONH2;Butanamide;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;amoniaco borano;BH6N;"	
ácido clorhídrico";HCL;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;éter dietílico;C4H10O;acetato de etilo;C4H8O2;0.00;0.00;0.00;Medio acuoso ácido fuerte;acido;1- Mina de Butana . clorhidrato (1: 1) (ACI);C4H11NClH;109.60;0.00;0.00;0.00;0.00;7.00;0.00;0.00;Reducción;Reducción de amidas a aminas;
AMD41;Amidas;–CONH2;Acetamida;C2H5NO;59.07;222.00;0.00;1.16;0.00;25.50;0.00;0.00;Hidrato de hidrazina;NH2NH2·H2O;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Calor (120 °C);Térmico;3-metil-1H-1.2.4-triazol;C3H5N3;83.09;138.00;0.00;1.18;0.06;10.60;0.20;0.00;Condensación;Ciclación / Síntesis de Triazoles de Einhorn-Brunner;
AMD42;Amidas;–CONH2;Propionamida;C3H7NO;73.09;213.00;0.00;1.01;0.00;16.60;0.40;0.00;Hidrato de hidrazina;NH2NH2·H2O;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Calor (120 °C);Térmico;3-etil-1H-1.2.4-triazol;C4H7N3;97.12;235.30;23.00;1.12;0.06;10.60;0.20;0.00;Condensación;Ciclación / Síntesis de Triazoles de Einhorn-Brunner;
AMD43;Amidas;–CONH2;Butiramida;C4H9NO;87.12;216.00;0.00;0.89;0.00;16.67;0.40;0.00;Hidrato de hidrazina;NH2NH2·H2O;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Calor (120 °C);Térmico;3-propil-1H-1.2.4-triazol;C5H9N3;111.15;244.36;23.00;1.07;0.06;10.54;0.20;0.00;Condensación;Ciclación / Síntesis de Triazoles de Einhorn-Brunner;
AMD44;Amidas;–CONH2;Pentanamida​;C5H11NO;101.15;90.00;0.00;0.85;0.00;17.00;0.40;0.00;carbonato de cesio;;0.00;0.00;0.00;0.00;Dibromuro de cobalto;CoBr2;Tris [2- (difenilfosfino ) etil] fosfina;C42H42P4;0.00;0.00;0.00;0.00;"	
	
metro- Xileno";C8H10;0.00;0.00;0.00;0.00;0.00;meta-Xileno;Basico;Pentanamida ,norte-metil- (9CI, ACI);C6H13NO;115.17;137.50;0.00;0.86;0.06;16.61;0.46;0.00;Sustitución Nucleofílica;N-alquilación de amidas/imidas o reacción de Mitsunobu;
AMD01;Amidas;–CONH2;Anhídrido Itacónico;C5H4O3;112.08;115.00;0.00;1.27;0.00;22.00;0.00;0.13;Hidrónio (Medio ácido);H3O+;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Medio Neutro (Sometido a reflujo en Dioxano);Neutro;Ácido acético;C2H4O2;60.05;117.90;0.00;1.04;0.00;4.76;0.00;0.00;Sustitución Nucleofílica Acílica;Hidrólisis ácida de amidas;
AMD02;Amidas;–CONH2;Propionamida;C3H7NO;73.09;213.00;0.00;1.01;0.00;16.60;0.40;0.00;Hidrónio (Medio ácido);H3O+;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Ácido / Calor;Ácido;Ácido propiónico;C3H6O2;74.08;141.10;0.00;0.99;0.00;4.86;0.00;1640.00;Sustitución Nucleofílica Acílica;Hidrólisis ácida de amidas;
AMD03;Amidas;–CONH2;Butiramida;C4H9NO;87.12;216.00;0.00;0.89;0.00;16.67;0.40;0.00;Hidrónio (Medio ácido);H3O+;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Ácido / Calor;Ácido;Ácido butírico;C4H8O2;88.11;165.50;0.00;0.96;0.00;4.83;0.00;0.00;Sustitución Nucleofílica Acílica;Hidrólisis ácida de amidas;
AMD04;Amidas;–CONH2;Pentanamida​;C5H11NO;101.15;90.00;0.00;0.85;0.00;17.00;0.40;0.00;Hidrónio (Medio ácido);H3O+;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Ácido / Calor;Ácido;Ácido pentanoico;C5H10O2;102.13;186.50;0.00;0.94;0.00;4.83;0.00;0.00;Sustitución Nucleofílica Acílica;Hidrólisis ácida de amidas;
AMD05;Amidas;–CONH2;Isobutiramida;C4H9NO;87.12;221.00;0.00;0.91;0.06;17.00;0.50;0.00;Hidróxido de sodio;NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;Isobutirato de sodio;C4H7NaO2;88.11;153.50;0.00;0.95;0.00;4.84;0.00;0.00;Sustitución Nucleofílica Acílica;Hidrólisis básica de amidas;
AMD06;Amidas;–CONH2;2 - Metilbutanamida;C5H11NO​​​​;101.15;181.00;0.00;0.90;0.06;16.67;0.50;0.00;Hidróxido de sodio;NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;2-Metilbutanoato de sodio;C5H9NaO2;102.13;177.00;0.00;0.93;0.00;4.80;0.00;0.00;Sustitución Nucleofílica Acílica;Hidrólisis básica de amidas;
